Year,Category,Value,
2019,Mismanaged,79.28664167,
2019,Landfilled,173.864438,
2019,Incinerated,67.31099549,
2019,Recycled,32.82902452,
2020,Mismanaged,80.63695509,
2020,Landfilled,177.0088469,
2020,Incinerated,68.04461306,
2020,Recycled,34.29233222,
2021,Mismanaged,81.71621336,
2021,Landfilled,181.28284,
2021,Incinerated,69.62247658,
2021,Recycled,36.09343073,
2022,Mismanaged,83.09910943,
2022,Landfilled,186.5765351,
2022,Incinerated,71.54809285,
2022,Recycled,38.08388988,
2023,Mismanaged,84.23578274,
2023,Landfilled,191.6184897,
2023,Incinerated,73.38781314,
2023,Recycled,40.08546321,
2024,Mismanaged,85.30684444,
2024,Landfilled,196.472046,
2024,Incinerated,75.07282327,
2024,Recycled,42.0686636,
2025,Mismanaged,86.43071758,
2025,Landfilled,201.4796567,
2025,Incinerated,76.73872531,
2025,Recycled,44.10192973,
2026,Mismanaged,87.68286311,
2026,Landfilled,206.8695927,
2026,Incinerated,78.48492459,
2026,Recycled,46.25523264,
2027,Mismanaged,89.03200847,
2027,Landfilled,212.6158203,
2027,Incinerated,80.31829838,
2027,Recycled,48.53950754,
2028,Mismanaged,90.46732319,
2028,Landfilled,218.6661833,
2028,Incinerated,82.23997277,
2028,Recycled,50.95871196,
2029,Mismanaged,91.93870548,
2029,Landfilled,224.9086815,
2029,Incinerated,84.22826615,
2029,Recycled,53.49988428,
2030,Mismanaged,93.41924177,
2030,Landfilled,231.2967733,
2030,Incinerated,86.2731847,
2030,Recycled,56.15415651,
2031,Mismanaged,94.91495482,
2031,Landfilled,237.821378,
2031,Incinerated,88.37691133,
2031,Recycled,58.9191391,
2032,Mismanaged,96.44003589,
2032,Landfilled,244.5219989,
2032,Incinerated,90.53988843,
2032,Recycled,61.78753159,
2033,Mismanaged,98.01738013,
2033,Landfilled,251.4328857,
2033,Incinerated,92.76756074,
2033,Recycled,64.7553919,
2034,Mismanaged,99.66504208,
2034,Landfilled,258.5930267,
2034,Incinerated,95.06680986,
2034,Recycled,67.82836154,
2035,Mismanaged,101.3772258,
2035,Landfilled,265.9728345,
2035,Incinerated,97.43616379,
2035,Recycled,70.99905362,
2036,Mismanaged,103.1438668,
2036,Landfilled,273.5630204,
2036,Incinerated,99.87027248,
2036,Recycled,74.26151871,
2037,Mismanaged,104.9560675,
2037,Landfilled,281.4210499,
2037,Incinerated,102.3621893,
2037,Recycled,77.62819036,
2038,Mismanaged,106.9607654,
2038,Landfilled,289.3112161,
2038,Incinerated,104.9075266,
2038,Recycled,81.08795011,
2039,Mismanaged,109.0044375,
2039,Landfilled,297.3702136,
2039,Incinerated,107.5089918,
2039,Recycled,84.63996403,
2040,Mismanaged,111.0620242,
2040,Landfilled,305.596037,
2040,Incinerated,110.1632411,
2040,Recycled,88.27977601,
2041,Mismanaged,113.1299762,
2041,Landfilled,313.9975366,
2041,Incinerated,112.8592926,
2041,Recycled,92.00396583,
2042,Mismanaged,115.2092624,
2042,Landfilled,322.5888636,
2042,Incinerated,115.6095868,
2042,Recycled,95.8199733,
2043,Mismanaged,117.3161133,
2043,Landfilled,331.4051843,
2043,Incinerated,118.4232586,
2043,Recycled,99.69746333,
2044,Mismanaged,119.4486419,
2044,Landfilled,340.4237512,
2044,Incinerated,121.3019483,
2044,Recycled,103.6370113,
2045,Mismanaged,121.5707445,
2045,Landfilled,349.6123412,
2045,Incinerated,124.2421073,
2045,Recycled,107.6515092,
2046,Mismanaged,123.6765596,
2046,Landfilled,358.9671027,
2046,Incinerated,127.2478898,
2046,Recycled,111.7393677,
2047,Mismanaged,125.7497971,
2047,Landfilled,368.4444867,
2047,Incinerated,130.3126664,
2047,Recycled,115.9015492,
2048,Mismanaged,127.8022628,
2048,Landfilled,378.0911495,
2048,Incinerated,133.4504969,
2048,Recycled,120.1526741,
2049,Mismanaged,129.8316354,
2049,Landfilled,387.8899477,
2049,Incinerated,136.6574091,
2049,Recycled,124.4865857,
2050,Mismanaged,131.901056,
2050,Landfilled,397.8213107,
2050,Incinerated,139.9454242,
2050,Recycled,128.9164141,
2051,Mismanaged,133.9584025,
2051,Landfilled,407.8447928,
2051,Incinerated,143.3249155,
2051,Recycled,133.3960751,
2052,Mismanaged,135.9907351,
2052,Landfilled,418.0247581,
2052,Incinerated,146.8265859,
2052,Recycled,137.8902855,
2053,Mismanaged,138.010788,
2053,Landfilled,428.3614694,
2053,Incinerated,150.4214544,
2053,Recycled,142.4719979,
2054,Mismanaged,140.0233341,
2054,Landfilled,438.9035723,
2054,Incinerated,154.1217079,
2054,Recycled,147.0671384,
2055,Mismanaged,142.0864331,
2055,Landfilled,449.5556157,
2055,Incinerated,157.9260689,
2055,Recycled,151.7597424,
2056,Mismanaged,144.195469,
2056,Landfilled,460.4651186,
2056,Incinerated,161.8907994,
2056,Recycled,156.4159367,
2057,Mismanaged,146.3026946,
2057,Landfilled,471.605425,
2057,Incinerated,165.9816481,
2057,Recycled,161.1567283,
2058,Mismanaged,148.3922274,
2058,Landfilled,482.9553798,
2058,Incinerated,170.1934969,
2058,Recycled,165.9970213,
2059,Mismanaged,150.4716094,
2059,Landfilled,494.53569,
2059,Incinerated,174.5374005,
2059,Recycled,170.951347,
2060,Mismanaged,152.5825101,
2060,Landfilled,506.5272531,
2060,Incinerated,179.0904321,
2060,Recycled,175.943546,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
